residue_mod_4096,minimal_k,support_size,support_primes
1,10,0,[]
3,11,2,"[5, 7]"
5,11,1,[17]
7,11,1,[733]
9,11,2,"[19, 463]"
11,11,2,"[7, 157]"
13,11,1,[137]
15,11,2,"[11, 397]"
17,11,1,[61]
19,11,2,"[43, 409]"
21,11,2,"[5, 13]"
23,11,2,"[37, 59]"
25,11,2,"[103, 683]"
27,11,2,"[5, 37]"
29,11,0,[]
31,11,1,[7]
33,11,1,[97]
35,10,0,[]
37,11,3,"[5, 31, 227]"
39,11,3,"[67, 109, 137]"
41,11,0,[]
43,11,0,[]
45,11,2,"[23, 191]"
47,11,1,[29]
49,10,0,[]
51,11,2,"[23, 2039]"
53,11,2,"[5, 109]"
55,11,1,[5]
57,11,2,"[5, 17]"
59,11,0,[]
61,11,3,"[5, 7, 499]"
63,11,0,[]
65,11,3,"[5, 13, 2887]"
67,11,1,[23]
69,11,2,"[17, 43]"
71,11,0,[]
73,11,3,"[7, 13, 29]"
75,11,2,"[29, 71]"
77,11,2,"[5, 11]"
79,11,1,[11]
81,11,3,"[11, 29, 73]"
83,11,3,"[11, 409, 2473]"
85,11,0,[]
87,11,1,[13]
89,10,0,[]
91,11,1,[13]
93,11,3,"[7, 29, 43]"
95,11,1,[5]
97,11,2,"[5, 461]"
99,11,2,"[5, 139]"
101,11,2,"[7, 61]"
103,11,0,[]
105,11,2,"[37, 61]"
107,11,3,"[7, 23, 181]"
109,11,1,[127]
111,11,2,"[13, 31]"
113,11,1,[7]
115,11,1,[61]
117,11,1,[19]
119,11,2,"[7, 151]"
121,11,2,"[89, 167]"
123,11,1,[197]
125,11,1,[13]
127,10,0,[]
129,11,1,[19]
131,11,0,[]
133,11,1,[5]
135,11,2,"[61, 193]"
137,11,1,[1021]
139,11,0,[]
141,11,2,"[7, 89]"
143,11,1,[439]
145,11,1,[89]
147,11,2,"[5, 7]"
149,11,3,"[23, 29, 211]"
151,11,1,[11]
153,11,4,"[13, 127, 139, 157]"
155,11,1,[149]
157,11,2,"[17, 167]"
159,11,1,[1553]
161,10,0,[]
163,10,1,[5]
165,11,4,"[5, 11, 13, 97]"
167,11,1,[7]
169,11,2,"[71, 397]"
171,11,0,[]
173,11,0,[]
175,11,1,[5]
177,11,0,[]
179,11,0,[]
181,11,0,[]
183,11,3,"[11, 17, 41]"
185,11,0,[]
187,11,0,[]
189,11,0,[]
191,11,5,"[7, 37, 43, 239, 433]"
193,11,1,[13]
195,9,0,[]
197,11,1,[7]
199,10,0,[]
201,11,0,[]
203,10,0,[]
205,11,2,"[19, 1097]"
207,11,0,[]
209,11,1,[7]
211,11,0,[]
213,11,2,"[7, 311]"
215,11,0,[]
217,11,1,[107]
219,11,1,[11]
221,11,0,[]
223,11,1,[691]
225,11,2,"[7, 31]"
227,11,2,"[7, 293]"
229,10,0,[]
231,11,2,"[11, 89]"
233,11,2,"[7, 401]"
235,10,1,[5]
237,11,0,[]
239,11,3,"[13, 19, 43]"
241,11,1,[31]
243,11,1,[11]
245,10,0,[]
247,11,2,"[7, 401]"
249,11,5,"[5, 137, 157, 163, 263]"
251,11,1,[11]
253,11,2,"[7, 11]"
255,11,1,[211]
257,11,0,[]
259,11,2,"[5, 59]"
261,11,1,[37]
